"","tip","cites"
"274","Alcedo quadribrachys",0
"275","Alcedo semitorquata",0
"276","Alcedo vintsioides",0
"277","Alcedo websteri",0
"278","Alcippe brunnea",0
"279","Alcippe brunneicauda",0
"280","Alcippe castaneceps",0
"281","Alcippe chrysotis",0
"282","Alcippe cinerea",0
"283","Alcippe cinereiceps",0
"284","Alcippe danisi",0
"285","Alcippe dubia",0
"286","Alcippe formosana",0
"287","Alcippe grotei",1
"288","Alcippe klossi",0
"289","Alcippe ludlowi",0
"290","Alcippe manipurensis",0
"291","Alcippe morrisonia",4
"292","Alcippe nipalensis",1
"293","Alcippe peracensis",1
"294","Alcippe poioicephala",0
"295","Alcippe pyrrhoptera",0
"296","Alcippe ruficapilla",0
"297","Alcippe rufogularis",0
"298","Alcippe striaticollis",0
"299","Alcippe variegaticeps",0
"300","Alcippe vinipectus",1
"301","Aleadryas rufinucha",0
"302","Alectoris barbara",8
"303","Alectoris chukar",130
"304","Alectoris graeca",22
"305","Alectoris magna",2
"306","Alectoris melanocephala",3
"307","Alectoris philbyi",2
"308","Alectoris rufa",145
"309","Alectroenas madagascariensis",0
"310","Alectroenas pulcherrima",0
"311","Alectroenas sganzini",0
"312","Alectrurus risora",1
"313","Alectrurus tricolor",0
"314","Alectura lathami",15
"315","Alethe choloensis",0
"316","Alethe diademata",2
"317","Alethe fuelleborni",0
"318","Alethe poliocephala",0
"319","Alethe poliophrys",0
"320","Alipiopsitta xanthops",0
"321","Alisterus amboinensis",0
"322","Alisterus chloropterus",0
"323","Alisterus scapularis",0
"324","Alle alle",45
"325","Alophoixus affinis",0
"326","Alophoixus bres",0
"327","Alophoixus finschii",0
"328","Alophoixus flaveolus",0
"329","Alophoixus ochraceus",0
"330","Alophoixus pallidus",1
"331","Alophoixus phaeocephalus",1
"332","Alopochelidon fucata",0
"333","Alopochen aegyptiaca",5
"334","Amadina erythrocephala",1
"335","Amadina fasciata",2
"336","Amalocichla incerta",0
"337","Amalocichla sclateriana",0
"338","Amandava amandava",2
"339","Amandava formosa",0
"340","Amandava subflava",2
"341","Amaurocichla bocagei",0
"342","Amaurolimnas concolor",0
"343","Amaurornis akool",1
"344","Amaurornis bicolor",0
"345","Amaurornis flavirostra",0
"346","Amaurornis isabellina",0
"347","Amaurornis magnirostris",0
"348","Amaurornis moluccana",0
"349","Amaurornis olivacea",0
"350","Amaurornis olivieri",0
"351","Amaurornis phoenicurus",1
"352","Amaurospiza carrizalensis",0
"353","Amaurospiza concolor",0
"354","Amaurospiza moesta",0
"355","Amazilia amabilis",0
"356","Amazilia amazilia",29
"357","Amazilia beryllina",1
"358","Amazilia boucardi",1
"359","Amazilia brevirostris",0
"360","Amazilia candida",0
"361","Amazilia castaneiventris",0
"362","Amazilia chionogaster",0
"363","Amazilia cyanifrons",1
"364","Amazilia cyanocephala",0
"365","Amazilia cyanura",1
"366","Amazilia decora",0
"367","Amazilia edward",0
"368","Amazilia fimbriata",0
"369","Amazilia franciae",0
"370","Amazilia lactea",0
"371","Amazilia leucogaster",0
"372","Amazilia luciae",0
"373","Amazilia rosenbergi",0
"374","Amazilia rutila",0
"375","Amazilia saucerrottei",1
"376","Amazilia tobaci",1
"377","Amazilia tzacatl",0
"378","Amazilia versicolor",1
