"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","prop","id","id2"
"79",79,0.964490175440148,0.83313177244582,0.993421052631579,0.176470588235294,140,5000,3,0.1,5,5,0.8,"5000 3 0.1 5","8"
"80",80,0.96766886159358,0.81593459752322,0.998355263157895,0.176470588235294,114,5000,3,0.1,5,5,0.9,"5000 3 0.1 5","8"
"81",81,0.984379254942541,0.88945351373097,0.995045417010735,0.358974358974359,1321,5000,4,0.01,4,1,0.8,"5000 4 0.01 4","9"
"82",82,0.984263634804036,0.841374960580259,0.995033112582781,0.238095238095238,1438,5000,4,0.01,4,1,0.9,"5000 4 0.01 4","9"
"83",83,0.979894749700229,0.881311318497248,0.994137353433836,0.196428571428571,1034,5000,4,0.01,4,2,0.8,"5000 4 0.01 4","9"
"84",84,0.981797658349509,0.852099591230026,0.994983277591973,0.296296296296296,1217,5000,4,0.01,4,2,0.9,"5000 4 0.01 4","9"
"85",85,0.978509278509278,0.864868902666766,0.99671322925226,0.242424242424242,1214,5000,4,0.01,4,3,0.8,"5000 4 0.01 4","9"
"86",86,0.985643364152338,0.894471544715447,0.995121951219512,0.2,1740,5000,4,0.01,4,3,0.9,"5000 4 0.01 4","9"
"87",87,0.979860137501746,0.88935,0.993333333333333,0.24,1032,5000,4,0.01,4,4,0.8,"5000 4 0.01 4","9"
"88",88,0.985394725920951,0.870631798194862,0.998322147651007,0.241379310344828,1427,5000,4,0.01,4,4,0.9,"5000 4 0.01 4","9"
"89",89,0.986094588199914,0.86235003869969,0.995888157894737,0.176470588235294,1473,5000,4,0.01,4,5,0.8,"5000 4 0.01 4","9"
"90",90,0.984137114668803,0.846652476780186,0.996710526315789,0.176470588235294,1394,5000,4,0.01,4,5,0.9,"5000 4 0.01 4","9"
"91",91,0.977715447597262,0.887314997141587,0.995871180842279,0.358974358974359,1142,5000,4,0.01,5,1,0.8,"5000 4 0.01 5","10"
"92",92,0.982500369258263,0.836486912645853,0.995033112582781,0.285714285714286,1428,5000,4,0.01,5,1,0.9,"5000 4 0.01 5","10"
"93",93,0.979563193805638,0.881356185690357,0.994974874371859,0.214285714285714,1030,5000,4,0.01,5,2,0.8,"5000 4 0.01 5","10"
"94",94,0.980496951320307,0.855506007679921,0.994983277591973,0.296296296296296,1217,5000,4,0.01,5,2,0.9,"5000 4 0.01 5","10"
"95",95,0.976798776798777,0.858121062722542,0.995891536565325,0.272727272727273,1157,5000,4,0.01,5,3,0.8,"5000 4 0.01 5","10"
"96",96,0.983879289907822,0.892357723577236,0.995121951219512,0.2,1740,5000,4,0.01,5,3,0.9,"5000 4 0.01 5","10"
"97",97,0.980986312457543,0.887516666666667,0.993333333333333,0.24,1042,5000,4,0.01,5,4,0.8,"5000 4 0.01 5","10"
"98",98,0.980920316395133,0.869879657486693,0.998322147651007,0.241379310344828,1190,5000,4,0.01,5,4,0.9,"5000 4 0.01 5","10"
"99",99,0.983721922721423,0.859229876160991,0.995888157894737,0.176470588235294,1331,5000,4,0.01,5,5,0.8,"5000 4 0.01 5","10"
"100",100,0.980927990494151,0.845975232198142,0.996710526315789,0.176470588235294,1209,5000,4,0.01,5,5,0.9,"5000 4 0.01 5","10"
"101",101,0.950755564330193,0.878771517499841,0.995871180842279,0.256410256410256,44,5000,4,0.1,4,1,0.8,"5000 4 0.1 4","11"
"102",102,0.983604933106916,0.854777672658467,0.993377483443709,0.19047619047619,134,5000,4,0.1,4,1,0.9,"5000 4 0.1 4","11"
"103",103,0.967181575463867,0.86536850921273,0.995812395309883,0.214285714285714,81,5000,4,0.1,4,2,0.8,"5000 4 0.1 4","11"
"104",104,0.975208165077386,0.875108385977951,0.994983277591973,0.296296296296296,110,5000,4,0.1,4,2,0.9,"5000 4 0.1 4","11"
"105",105,0.978167178167178,0.85620377978636,0.995891536565325,0.212121212121212,141,5000,4,0.1,4,3,0.8,"5000 4 0.1 4","11"
"106",106,0.978996273131685,0.89479674796748,0.990243902439024,0.3,147,5000,4,0.1,4,3,0.9,"5000 4 0.1 4","11"
"107",107,0.960415853652661,0.879941666666667,0.9975,0.22,75,5000,4,0.1,4,4,0.8,"5000 4 0.1 4","11"
"108",108,0.973398729038727,0.856225410784541,0.996644295302013,0.241379310344828,127,5000,4,0.1,4,4,0.9,"5000 4 0.1 4","11"
"109",109,0.976789670834126,0.830519543343653,0.994243421052632,0.176470588235294,146,5000,4,0.1,4,5,0.8,"5000 4 0.1 4","11"
"110",110,0.975934719302904,0.838477167182663,0.995065789473684,0.294117647058824,115,5000,4,0.1,4,5,0.9,"5000 4 0.1 4","11"
"111",111,0.949981732113356,0.840532300069872,0.996696944673823,0.307692307692308,44,5000,4,0.1,5,1,0.8,"5000 4 0.1 5","12"
"112",112,0.981930197803166,0.864317250078839,0.993377483443709,0.238095238095238,150,5000,4,0.1,5,1,0.9,"5000 4 0.1 5","12"
"113",113,0.967963723297909,0.839779253409907,0.995812395309883,0.196428571428571,71,5000,4,0.1,5,2,0.8,"5000 4 0.1 5","12"
"114",114,0.981487831257586,0.841694537346711,0.994983277591973,0.333333333333333,126,5000,4,0.1,5,2,0.9,"5000 4 0.1 5","12"
"115",115,0.966132616132616,0.856651975797415,0.999178307313065,0.212121212121212,85,5000,4,0.1,5,3,0.8,"5000 4 0.1 5","12"
"116",116,0.976074307269659,0.89219512195122,0.995121951219512,0.3,143,5000,4,0.1,5,3,0.9,"5000 4 0.1 5","12"
"117",117,0.967522800526111,0.876216666666667,0.995,0.22,79,5000,4,0.1,5,4,0.8,"5000 4 0.1 5","12"
"118",118,0.949371436094651,0.819139088174034,0.998322147651007,0.206896551724138,65,5000,4,0.1,5,4,0.9,"5000 4 0.1 5","12"
"119",119,0.968388599707231,0.842516447368421,0.995888157894737,0.176470588235294,110,5000,4,0.1,5,5,0.8,"5000 4 0.1 5","12"
"120",120,0.978564130723426,0.85671439628483,0.996710526315789,0.176470588235294,135,5000,4,0.1,5,5,0.9,"5000 4 0.1 5","12"
