"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"57","Acridotheres tristis_BELL01",1,"Sturnus tristis","BELL01","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"58","Acridotheres tristis_FANTAIL01",2,"Sturnus tristis","FANTAIL01","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"59","Acridotheres tristis_GRW04",5,"Sturnus tristis","GRW04","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,"Acridotheres_tristis","no","Acridotheres tristis"
"60","Acridotheres tristis_MYNA02",1,"Sturnus tristis","MYNA02","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"61","Acridotheres tristis_ORW1",1,"Sturnus tristis","ORW1","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"62","Acridotheres tristis_SCEDEN01",1,"Sturnus tristis","SCEDEN01","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"63","Acridotheres tristis_SGS1",2,"Sturnus tristis","SGS1","Plasmodium","Passeriformes","Sturnidae","Sturnus",1,"Acridotheres_tristis","no","Acridotheres tristis"
"64","Acridotheres tristis_STASTR01",1,"Sturnus tristis","STASTR01","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"65","Acridotheres tristis_ZEMAC01",1,"Sturnus tristis","ZEMAC01","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"66","Acridotheres tristis_ZOSLAT02",1,"Sturnus tristis","ZOSLAT02","Plasmodium","Passeriformes","Sturnidae","Sturnus",0,"Acridotheres_tristis","no","Acridotheres tristis"
"67","Acrocephalus aedon_ACAED01",1,"Acrocephalus aedon","ACAED01","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_aedon","yes","Acrocephalus aedon"
"68","Acrocephalus aedon_ACAED02",1,"Acrocephalus aedon","ACAED02","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_aedon","yes","Acrocephalus aedon"
"69","Acrocephalus agricola_ACAGR1",1,"Acrocephalus agricola","ACAGR1","Plasmodium","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
"70","Acrocephalus agricola_ACAGR2",4,"Acrocephalus agricola","ACAGR2","Haemoproteus","Passeriformes","Sylviidae","Acrocephalus",0,"Acrocephalus_agricola","yes","Acrocephalus agricola"
