"","species","id","order","family","genus","Pr","Jetz.species","match"
"7706","Rhipidura albicollis","ALMOR09_Rhipidura albicollis","Passeriformes","Dicruridae","Rhipidura",0,NA,NA
"7707","Rhipidura albolimbata","RHIALB03_Rhipidura albolimbata","Passeriformes","Dicruridae","Rhipidura",0,NA,NA
"7708","Rhipidura atra","RHALEU01_Rhipidura atra","Passeriformes","Dicruridae","Rhipidura",0,NA,NA
"7711","Rhipidura aureola","RHIAUR01_Rhipidura aureola","Passeriformes","Dicruridae","Rhipidura",0,"Rhipidura_aureola","yes"
"7712","Rhipidura fuliginosa","MYZCAR06_Rhipidura fuliginosa","Passeriformes","Dicruridae","Rhipidura",0,"Rhipidura_fuliginosa","yes"
"7715","Rhipidura leucophrys","LICVER08_Rhipidura leucophrys","Passeriformes","Dicruridae","Rhipidura",0,"Rhipidura_leucophrys","yes"
"7716","Rhipidura rufifrons","GRW09_Rhipidura rufifrons","Passeriformes","Dicruridae","Rhipidura",0,"Rhipidura_rufifrons","yes"
"7719","Rhipidura rufiventris","FANTAIL03_Rhipidura rufiventris","Passeriformes","Dicruridae","Rhipidura",0,"Rhipidura_rufiventris","yes"
"7721","Rhipidura spilodera","MYZCAR06_Rhipidura spilodera","Passeriformes","Dicruridae","Rhipidura",0,"Rhipidura_verreauxi","no"
"7724","Rhynchocyclus olivaceus","AUTPAR01_Rhynchocyclus olivaceus","Passeriformes","Tyrannidae","Rhynchocyclus",0,"Rhynchocyclus_olivaceus","yes"
"7725","Rhynchospiza stolzmanni","RHYSTO01_Rhynchospiza stolzmanni","Passeriformes","Passerellidae","Rhynchospiza",0,NA,NA
"7727","Rhytipterna simplex","RHYSIM01_Rhytipterna simplex","Passeriformes","Tyrannidae","Rhytipterna",0,"Rhytipterna_simplex","yes"
"7730","Rimator malacoptilus","GRW06_Rimator malacoptilus","Passeriformes","Timaliidae","Rimator",0,"Rimator_malacoptilus","yes"
"7731","Riparia paludicola","LINOLI01_Riparia paludicola","Passeriformes","Hirundinidae","Riparia",0,"Riparia_paludicola","yes"
"7732","Riparia riparia","RIPRIP04_Riparia riparia","Passeriformes","Hirundinidae","Riparia",0,"Riparia_riparia","yes"
"7750","Rostrhamus sociabilis","GRW06_Rostrhamus sociabilis","Falconiformes","Accipitridae","Rostrhamus",0,NA,NA
"7751","Rupornis magnirostris","RUMAG01_Rupornis magnirostris","Falconiformes","Accipitridae","Rupornis",0,NA,NA
"7752","Rynchops niger","PHPAT01_Rynchops niger","Charadriiformes","Laridae","Rynchops",0,"Rynchops_niger","yes"
"7755","Sakesphorus cristatus","VOLJAC02_Sakesphorus cristatus","Passeriformes","Thamnophilidae","Sakesphorus",0,"Sakesphorus_cristatus","yes"
"7757","Salpinctes obsoletus","SEIAUR01_Salpinctes obsoletus","Passeriformes","Certhiidae","Salpinctes",0,NA,NA
"7758","Saltator atricollis","SALATR01_Saltator atricollis","Passeriformes","Fringillidae","Saltator",0,"Saltator_atricollis","yes"
"7760","Saltator aurantiirostris","SALAUR01_Saltator aurantiirostris","Passeriformes","Fringillidae","Saltator",0,"Saltator_aurantiirostris","yes"
"7763","Saltator coerulescens","PACPEC02_Saltator coerulescens","Passeriformes","Fringillidae","Saltator",0,"Saltator_coerulescens","yes"
"7768","Saltator grossus","PADOM11_Saltator grossus","Passeriformes","Fringillidae","Saltator",0,"Saltator_grossus","yes"
"7769","Saltator maxillosus","GEOTRI09_Saltator maxillosus","Passeriformes","Fringillidae","Saltator",0,NA,NA
"7770","Saltator maximus","SALMAX01_Saltator maximus","Passeriformes","Fringillidae","Saltator",0,"Saltator_maximus","yes"
"7777","Saltator similis","MAFUS02_Saltator similis","Passeriformes","Fringillidae","Saltator",0,"Saltator_similis","yes"
"7780","Sarcops calvus","SARCAL02_Sarcops calvus","Passeriformes","Sturnidae","Sarcops",0,"Sarcops_calvus","yes"
"7782","Sarcoramphus papa","NYCNYC01_Sarcoramphus papa","Ciconiiformes","Cathartidae","Sarcoramphus",0,"Sarcoramphus_papa","yes"
"7783","Sarkidiornis melanotos","BUL07_Sarkidiornis melanotos","Anseriformes","Anatidae","Sarkidiornis",0,"Sarkidiornis_melanotos","yes"
"7784","Sarothrura rufa","PSEGRI01_Sarothrura rufa","Gruiformes","Rallidae","Sarothrura",0,"Sarothrura_rufa","yes"
"7786","Saxicola caprata","GALLUS01_Saxicola caprata","Passeriformes","Turdidae","Saxicola",0,NA,NA
"7788","Saxicola maura","SGS1_Saxicola maura","Passeriformes","Turdidae","Saxicola",1,"Saxicola_torquatus","no"
"7790","Saxicola rubetra","WCH2_Saxicola rubetra","Passeriformes","Turdidae","Saxicola",0,"Saxicola_rubetra","yes"
"7805","Saxicola tectes","RECOB3_Saxicola tectes","Passeriformes","Turdidae","Saxicola",0,"Saxicola_tectes","yes"
"7807","Saxicola torquata","SATOR01_Saxicola torquata","Passeriformes","Turdidae","Saxicola",0,"Saxicola_torquatus","no"
"7814","Saxicoloides fulicatus","SAXFUL02_Saxicoloides fulicatus","Passeriformes","Muscicapidae","Saxicoloides",0,"Saxicoloides_fulicatus","yes"
"7816","Sayornis nigricans","PHPAT01_Sayornis nigricans","Passeriformes","Tyrannidae","Sayornis",0,"Sayornis_nigricans","yes"
"7818","Scardafella squammata","COLSQU02_Scardafella squammata","Columbiformes","Columbidae","Scardafella",0,"Columbina_squammata","no"
"7825","Scenopoeetes dentirostris","SCEDEN01_Scenopoeetes dentirostris","Passeriformes","Ptilonorhynchidae","Scenopoeetes",0,"Scenopoeetes_dentirostris","yes"
"7827","Schiffornis turdina","SCHTUR01_Schiffornis turdina","Passeriformes","Pipridae","Schiffornis",0,"Schiffornis_turdina","yes"
"7829","Schiffornis virescens","PADOM11_Schiffornis virescens","Passeriformes","Pipridae","Schiffornis",0,NA,NA
"7830","Schistes geoffroyi","SALMAX03_Schistes geoffroyi","Trochiliformes","Trochilidae","Schistes",0,NA,NA
"7835","Schistochlamys ruficapillus","SCHRUF01_Schistochlamys ruficapillus","Passeriformes","Fringillidae","Schistochlamys",0,"Schistochlamys_ruficapillus","yes"
"7837","Schistocichla humaythae","MYRMAX01_Schistocichla humaythae","Passeriformes","Thamnophilidae","Schistocichla",0,"Schistocichla_humaythae","yes"
"7838","Schistocichla leucostigma","HYPSTR04_Schistocichla leucostigma","Passeriformes","Thamnophilidae","Schistocichla",0,"Schistocichla_leucostigma","yes"
"7839","Schizoeaca helleri","ZOCAP08_Schizoeaca helleri","Passeriformes","Furnariidae","Schizoeaca",0,NA,NA
"7840","Schoeniophylax phryganophilus","DENPET03_Schoeniophylax phryganophilus","Passeriformes","Furnariidae","Schoeniophylax",0,NA,NA
"7841","Sciaphylax hemimelaena","MYRHEM02_Sciaphylax hemimelaena","Passeriformes","Thamnophilidae","Sciaphylax",0,NA,NA
"7842","Sclerurus caudacutus","SCLCAU01_Sclerurus caudacutus","Passeriformes","Furnariidae","Sclerurus",0,"Sclerurus_caudacutus","yes"
"7847","Sclerurus mexicanus","SCLMEX01_Sclerurus mexicanus","Passeriformes","Furnariidae","Sclerurus",0,NA,NA
"7850","Scolopax rusticola","SCORUS01_Scolopax rusticola","Charadriiformes","Scolopacidae","Scolopax",0,NA,NA
"7852","Scopus umbretta","AFR210_Scopus umbretta","Ciconiiformes","Scopidae","Scopus",0,"Scopus_umbretta","yes"
"7854","Scytalopus simonsi","TROAED20_Scytalopus simonsi","Passeriformes","Rhinocryptidae","Scytalopus",0,NA,NA
"7855","Scytalopus unicolor","PYERY01_Scytalopus unicolor","Passeriformes","Rhinocryptidae","Scytalopus",0,NA,NA
"7858","Seicercus poliogenys","ARAMAG01_Seicercus poliogenys","Passeriformes","Sylviidae","Seicercus",0,"Seicercus_poliogenys","yes"
"7859","Seicercus xanthodryas","SEIXAN01_Seicercus xanthodryas","Passeriformes","Sylviidae","Seicercus",0,NA,NA
"7860","Seiurus aurocapilla","SEIAUR02_Seiurus aurocapilla","Passeriformes","Parulidae","Seiurus",0,"Seiurus_aurocapilla","yes"
"7873","Seiurus motacilla","PADOM11_Seiurus motacilla","Passeriformes","Parulidae","Seiurus",0,NA,NA
"7874","Seiurus noveboracensis","ZOLEU02_Seiurus noveboracensis","Passeriformes","Parulidae","Seiurus",0,"Seiurus_noveboracensis","yes"
