"","species","id","order","family","genus","Pr","Jetz.species","match"
"5288","Merops orientalis","MERORI01_Merops orientalis","Coraciiformes","Meropidae","Merops",0,"Merops_orientalis","yes"
"5290","Merops pusillus","BUL07_Merops pusillus","Coraciiformes","Meropidae","Merops",0,"Merops_pusillus","yes"
"5292","Mesembrinibis cayennensis","MESCAY01_Mesembrinibis cayennensis","Ciconiiformes","Threskiornithidae","Mesembrinibis",0,NA,NA
"5293","Metallura eupogon","TROAED20_Metallura eupogon","Trochiliformes","Trochilidae","Metallura",0,NA,NA
"5294","Metallura phoebe","TROAED20_Metallura phoebe","Trochiliformes","Trochilidae","Metallura",0,NA,NA
"5296","Metallura tyrianthina","TROAED20_Metallura tyrianthina","Trochiliformes","Trochilidae","Metallura",0,"Metallura_tyrianthina","yes"
"5304","Metriopelia ceciliae","ZEMEL01_Metriopelia ceciliae","Columbiformes","Columbidae","Metriopelia",0,"Metriopelia_ceciliae","yes"
"5305","Metriopelia melanoptera","BAEBIC02_Metriopelia melanoptera","Columbiformes","Columbidae","Metriopelia",0,NA,NA
"5311","Micrastur gilvicollis","MICGIL01_Micrastur gilvicollis","Falconiformes","Falconidae","Micrastur",0,"Micrastur_gilvicollis","yes"
"5312","Micrastur mintoni","MICMIN05_Micrastur mintoni","Falconiformes","Falconidae","Micrastur",0,"Micrastur_mintoni","yes"
"5317","Micrastur ruficollis","MICRUF01_Micrastur ruficollis","Falconiformes","Falconidae","Micrastur",0,NA,NA
"5318","Micrastur semitorquatus","MYCAME02_Micrastur semitorquatus","Falconiformes","Falconidae","Micrastur",0,"Micrastur_semitorquatus","yes"
"5319","Microbates collaris","CYCYA01_Microbates collaris","Passeriformes","Certhiidae","Microbates",0,"Microbates_collaris","yes"
"5320","Microcerculus marginatus","TROAED20_Microcerculus marginatus","Passeriformes","Certhiidae","Microcerculus",0,NA,NA
"5326","Microeca papuana","OEDILI01_Microeca papuana","Passeriformes","Petroicidae","Microeca",0,NA,NA
"5329","Microrhopias quixensis","PIRLUD02_Microrhopias quixensis","Passeriformes","Thamnophilidae","Microrhopias",0,NA,NA
"5330","Microscelis amaurotis","HYPAM03_Microscelis amaurotis","Passeriformes","Pycnonotidae","Microscelis",0,NA,NA
"5338","Milvago chimachima","MICHI01_Milvago chimachima","Falconiformes","Falconidae","Milvago",0,NA,NA
"5339","Milvus migrans","CIAE02_Milvus migrans","Falconiformes","Accipitridae","Milvus",0,"Milvus_migrans","yes"
"5350","Milvus milvus","MILANS04_Milvus milvus","Falconiformes","Accipitridae","Milvus",0,"Milvus_milvus","yes"
"5353","Mimus gilvus","MIMGIL01_Mimus gilvus","Passeriformes","Mimidae","Mimus",0,"Mimus_gilvus","yes"
"5355","Mimus polyglottos","MIMPOL01_Mimus polyglottos","Passeriformes","Mimidae","Mimus",0,"Mimus_polyglottos","yes"
"5359","Mimus saturninus","COLL4_Mimus saturninus","Passeriformes","Mimidae","Mimus",0,"Mimus_saturninus","yes"
"5361","Mimus thenca","PHRPAT01_Mimus thenca","Passeriformes","Mimidae","Mimus",0,NA,NA
"5362","Mimus triurus","MIMTRI01_Mimus triurus","Passeriformes","Mimidae","Mimus",0,NA,NA
"5363","Minla cyanouroptera","ALMOR10_Minla cyanouroptera","Passeriformes","Timaliidae","Minla",0,NA,NA
"5366","Minla ignotincta","MIIGO01_Minla ignotincta","Passeriformes","Timaliidae","Minla",0,NA,NA
"5367","Mionectes macconnelli","CYCYA01_Mionectes macconnelli","Passeriformes","Tyrannidae","Mionectes",0,"Mionectes_macconnelli","yes"
"5371","Mionectes oleagineus","PIRFLA07_Mionectes oleagineus","Passeriformes","Tyrannidae","Mionectes",0,"Mionectes_oleagineus","yes"
"5377","Mionectes olivaceus","PACPEC02_Mionectes olivaceus","Passeriformes","Tyrannidae","Mionectes",0,"Mionectes_olivaceus","yes"
"5384","Mionectes striaticollis","MIOSTR01_Mionectes striaticollis","Passeriformes","Tyrannidae","Mionectes",0,"Mionectes_striaticollis","yes"
"5395","Mirafra rufocinnamomea","ACCTAC01_Mirafra rufocinnamomea","Passeriformes","Alaudidae","Mirafra",0,"Mirafra_rufocinnamomea","yes"
"5397","Mitu tomentosum","MITOM01_Mitu tomentosum","Galliformes","Cracidae","Mitu",0,"Mitu_tomentosum","yes"
"5398","Mitu tuberosum","MITTUB01_Mitu tuberosum","Galliformes","Cracidae","Mitu",0,"Mitu_tuberosum","yes"
"5399","Mixornis gularis","PORUF03_Mixornis gularis","Passeriformes","Timaliidae","Mixornis",0,NA,NA
"5400","Mniotilta varia","PADOM11_Mniotilta varia","Passeriformes","Parulidae","Mniotilta",0,"Mniotilta_varia","yes"
"5405","Modulatrix stictigula","GRW09_Modulatrix stictigula","Passeriformes","Timaliidae","Modulatrix",0,"Modulatrix_stictigula","yes"
"5406","Mohoua albicilla","GRW06_Mohoua albicilla","Passeriformes","Acanthizidae","Mohoua",0,"Mohoua_albicilla","yes"
"5407","Molothrus ater","SEIAUR01_Molothrus ater","Passeriformes","Icteridae","Molothrus",0,"Molothrus_ater","yes"
"5416","Molothrus badius","AGEBAD01_Molothrus badius","Passeriformes","Icteridae","Molothrus",0,"Agelaioides_badius","no"
"5421","Molothrus bonariensis","MOLBON04_Molothrus bonariensis","Passeriformes","Icteridae","Molothrus",0,"Molothrus_bonariensis","yes"
"5430","Molothrus oryzivorus","MOLORY01_Molothrus oryzivorus","Passeriformes","Icteridae","Molothrus",0,"Molothrus_oryzivorus","yes"
"5431","Molothrus rufoaxillaris","ICTCAY01_Molothrus rufoaxillaris","Passeriformes","Icteridae","Molothrus",0,NA,NA
"5432","Momotus lessonii","MELFOR01_Momotus lessonii","Coraciiformes","Momotidae","Momotus",0,NA,NA
"5433","Momotus momota","MELFOR01_Momotus momota","Coraciiformes","Momotidae","Momotus",0,NA,NA
"5434","Monarcha axillaris","SYMAXI01_Monarcha axillaris","Passeriformes","Monarchidae","Monarcha",0,NA,NA
"5435","Monarcha chrysomela","MONCHR01_Monarcha chrysomela","Passeriformes","Monarchidae","Monarcha",0,"Monarcha_chrysomela","yes"
"5436","Monarcha guttula","TANGAL01_Monarcha guttula","Passeriformes","Monarchidae","Monarcha",0,"Monarcha_guttula","yes"
"5439","Monarcha melanopsis","MONGUT02_Monarcha melanopsis","Passeriformes","Monarchidae","Monarcha",0,"Monarcha_melanopsis","yes"
"5440","Monarcha trivirgatus","NEOTEM01_Monarcha trivirgatus","Passeriformes","Monarchidae","Monarcha",0,"Monarcha_trivirgatus","yes"
"5443","Monasa flavirostris","VIOLI03_Monasa flavirostris","Galbuliformes","Bucconidae","Monasa",0,NA,NA
"5445","Monasa morphoeus","METTYR01_Monasa morphoeus","Galbuliformes","Bucconidae","Monasa",0,NA,NA
"5447","Monasa nigrifrons","MONNIG01_Monasa nigrifrons","Galbuliformes","Bucconidae","Monasa",0,"Monasa_nigrifrons","yes"
"5451","Montecincla jerdoni","MONMER01_Montecincla jerdoni","Passeriformes","Leiothrichidae","Montecincla",0,NA,NA
"5453","Montecincla meridionalis","ALCPOI02_Montecincla meridionalis","Passeriformes","Leiothrichidae","Montecincla",0,NA,NA
"5456","Monticola saxatilis","SGS1_Monticola saxatilis","Passeriformes","Turdidae","Monticola",1,"Monticola_saxatilis","yes"
"5457","Monticola sharpei","MONSHA01_Monticola sharpei","Passeriformes","Turdidae","Monticola",0,"Monticola_sharpei","yes"
"5459","Monticola solitarius","GRW04_Monticola solitarius","Passeriformes","Turdidae","Monticola",1,NA,NA
"5461","Morus capensis","LINOLI01_Morus capensis","Pelecaniformes","Sulidae","Morus",0,"Morus_capensis","yes"
"5462","Motacilla alba","MOALB02_Motacilla alba","Passeriformes","Motacillidae","Motacilla",0,"Motacilla_alba","yes"
"5471","Motacilla capensis","RBQ03_Motacilla capensis","Passeriformes","Motacillidae","Motacilla",0,"Motacilla_capensis","yes"
"5472","Motacilla cinerea","YWT2_Motacilla cinerea","Passeriformes","Motacillidae","Motacilla",0,"Motacilla_cinerea","yes"
"5474","Motacilla clara","MOCLA01_Motacilla clara","Passeriformes","Motacillidae","Motacilla",0,"Motacilla_clara","yes"
"5475","Motacilla flava","YWT5_Motacilla flava","Passeriformes","Motacillidae","Motacilla",0,"Motacilla_flava","yes"
"5486","Motacilla flaviventris","MOFLA01_Motacilla flaviventris","Passeriformes","Motacillidae","Motacilla",0,"Motacilla_flaviventris","yes"
"5488","Muscicapa adusta","AFR150_Muscicapa adusta","Passeriformes","Muscicapidae","Muscicapa",0,"Muscicapa_adusta","yes"
"5489","Muscicapa aquatica","LAMPUR03_Muscicapa aquatica","Passeriformes","Muscicapidae","Muscicapa",0,NA,NA
"5491","Muscicapa caerulescens","AFR148_Muscicapa caerulescens","Passeriformes","Muscicapidae","Muscicapa",0,"Muscicapa_caerulescens","yes"
"5492","Muscicapa dauurica","TURDUS1_Muscicapa dauurica","Passeriformes","Muscicapidae","Muscicapa",0,"Muscicapa_dauurica","yes"
"5494","Muscicapa ferruginea","MUFER01_Muscicapa ferruginea","Passeriformes","Muscicapidae","Muscicapa",0,NA,NA
"5495","Muscicapa olivascens","GRW09_Muscicapa olivascens","Passeriformes","Muscicapidae","Muscicapa",0,"Muscicapa_olivascens","yes"
"5496","Muscicapa striata","PHSIB1_Muscicapa striata","Passeriformes","Muscicapidae","Muscicapa",0,"Muscicapa_striata","yes"
"5520","Muscigralla brevicauda","SETAUD08_Muscigralla brevicauda","Passeriformes","Tyrannidae","Muscigralla",0,NA,NA
"5521","Muscisaxicola maculirostris","PHRPLE01_Muscisaxicola maculirostris","Passeriformes","Tyrannidae","Muscisaxicola",0,NA,NA
"5522","Musophaga violacea","SPMAG06_Musophaga violacea","Musophagiformes","Musophagidae","Musophaga",0,"Musophaga_violacea","yes"
"5523","Myadestes occidentalis","CATUST14_Myadestes occidentalis","Passeriformes","Turdidae","Myadestes",0,NA,NA
"5525","Myadestes ralloides","TROAED02_Myadestes ralloides","Passeriformes","Turdidae","Myadestes",0,"Myadestes_ralloides","yes"
"5537","Myadestes unicolor","MYAUNI01_Myadestes unicolor","Passeriformes","Turdidae","Myadestes",0,NA,NA
"5540","Mycteria americana","MYCAME07_Mycteria americana","Ciconiiformes","Ciconiidae","Mycteria",0,"Mycteria_americana","yes"
"5549","Myiagra alecto","MYIALE02_Myiagra alecto","Passeriformes","Monarchidae","Myiagra",0,"Myiagra_alecto","yes"
"5552","Myiarchus cinerascens","MYICIN01_Myiarchus cinerascens","Passeriformes","Tyrannidae","Myiarchus",0,NA,NA
"5554","Myiarchus ferox","GALLUS01_Myiarchus ferox","Passeriformes","Tyrannidae","Myiarchus",0,"Myiarchus_ferox","yes"
"5558","Myiarchus swainsoni","MYISWA01_Myiarchus swainsoni","Passeriformes","Tyrannidae","Myiarchus",0,"Myiarchus_swainsoni","yes"
"5562","Myiarchus tuberculifer","MYITUB02_Myiarchus tuberculifer","Passeriformes","Tyrannidae","Myiarchus",0,"Myiarchus_tuberculifer","yes"
"5568","Myiarchus tyrannulus","VOLJAC02_Myiarchus tyrannulus","Passeriformes","Tyrannidae","Myiarchus",0,"Myiarchus_tyrannulus","yes"
"5575","Myiobius atricaudus","LEPCOR02_Myiobius atricaudus","Passeriformes","Tyrannidae","Myiobius",0,"Myiobius_atricaudus","yes"
"5576","Myiobius barbatus","PHAMAL02_Myiobius barbatus","Passeriformes","Tyrannidae","Myiobius",0,"Myiobius_barbatus","yes"
"5578","Myioborus flavivertex","TFUS12_Myioborus flavivertex","Passeriformes","Parulidae","Myioborus",0,"Myioborus_flavivertex","yes"
"5582","Myioborus melanocephalus","MYIMEL02_Myioborus melanocephalus","Passeriformes","Parulidae","Myioborus",0,NA,NA
"5586","Myioborus miniatus","TROAED02_Myioborus miniatus","Passeriformes","Parulidae","Myioborus",0,"Myioborus_miniatus","yes"
"5593","Myioborus ornatus","MYORN01_Myioborus ornatus","Passeriformes","Parulidae","Myioborus",0,"Myioborus_ornatus","yes"
"5594","Myiodynastes maculatus","MYIMAC01_Myiodynastes maculatus","Passeriformes","Tyrannidae","Myiodynastes",0,"Myiodynastes_maculatus","yes"
"5605","Myiomela albiventris","COLL2_Myiomela albiventris","Passeriformes","Muscicapidae","Myiomela",0,NA,NA
"5608","Myiomela leucura","POMFER01_Myiomela leucura","Passeriformes","Muscicapidae","Myiomela",0,"Cinclidium_leucurum","no"
"5612","Myiopagis caniceps","MYCAN01_Myiopagis caniceps","Passeriformes","Tyrannidae","Myiopagis",0,"Myiopagis_caniceps","yes"
"5613","Myiopagis flavivertex","MYIFLA01_Myiopagis flavivertex","Passeriformes","Tyrannidae","Myiopagis",0,"Myiopagis_flavivertex","yes"
"5614","Myiopagis viridicata","MYISWA01_Myiopagis viridicata","Passeriformes","Tyrannidae","Myiopagis",0,"Myiopagis_viridicata","yes"
"5617","Myiophobus fasciatus","BAEBIC02_Myiophobus fasciatus","Passeriformes","Tyrannidae","Myiophobus",0,"Myiophobus_fasciatus","yes"
"5622","Myiopsitta monachus","TURDUS2_Myiopsitta monachus","Psittaciformes","Psittacidae","Myiopsitta",0,NA,NA
"5623","Myiornis albiventris","VIGIL09_Myiornis albiventris","Passeriformes","Tyrannidae","Myiornis",0,NA,NA
"5625","Myiotheretes fumigatus","TROAED02_Myiotheretes fumigatus","Passeriformes","Tyrannidae","Myiotheretes",0,NA,NA
"5626","Myiotheretes fuscorufus","MYIFUS01_Myiotheretes fuscorufus","Passeriformes","Tyrannidae","Myiotheretes",0,NA,NA
"5629","Myiotheretes pernix","TFUS12_Myiotheretes pernix","Passeriformes","Tyrannidae","Myiotheretes",0,NA,NA
"5630","Myiothlypis coronata","GEOTRI02_Myiothlypis coronata","Passeriformes","Parulidae","Myiothlypis",0,"Basileuterus_coronatus","no"
"5638","Myiothlypis coronatus","BAEBIC02_Myiothlypis coronatus","Passeriformes","Parulidae","Myiothlypis",0,"Basileuterus_coronatus","no"
"5639","Myiothlypis flaveola","DENPET03_Myiothlypis flaveola","Passeriformes","Parulidae","Myiothlypis",0,NA,NA
"5640","Myiothlypis fraseri","PAPOL01_Myiothlypis fraseri","Passeriformes","Parulidae","Myiothlypis",0,"Basileuterus_fraseri","no"
"5642","Myiothlypis nigrocristata","SETAUD24_Myiothlypis nigrocristata","Passeriformes","Parulidae","Myiothlypis",0,"Basileuterus_nigrocristatus","no"
"5650","Myiozetetes similis","TROAED18_Myiozetetes similis","Passeriformes","Tyrannidae","Myiozetetes",0,NA,NA
"5651","Myophonus caeruleus","MYOCAR01_Myophonus caeruleus","Passeriformes","Muscicapidae","Myophonus",0,NA,NA
"5653","Myrmeciza fortis","MYRFOR01_Myrmeciza fortis","Passeriformes","Thamnophilidae","Myrmeciza",0,"Myrmeciza_fortis","yes"
"5658","Myrmeciza goeldii","THACAE01_Myrmeciza goeldii","Passeriformes","Thamnophilidae","Myrmeciza",0,"Myrmeciza_goeldii","yes"
"5659","Myrmeciza hemimelaena","TROAED23_Myrmeciza hemimelaena","Passeriformes","Thamnophilidae","Myrmeciza",0,"Myrmeciza_hemimelaena","yes"
"5664","Myrmecocichla arnotti","AFR068_Myrmecocichla arnotti","Passeriformes","Muscicapidae","Myrmecocichla",0,"Myrmecocichla_arnoti","no"
"5668","Myrmoborus leucophrys","MYRLEU01_Myrmoborus leucophrys","Passeriformes","Thamnophilidae","Myrmoborus",0,"Myrmoborus_leucophrys","yes"
"5669","Myrmoborus myotherinus","MYRMYO05_Myrmoborus myotherinus","Passeriformes","Thamnophilidae","Myrmoborus",0,"Myrmoborus_myotherinus","yes"
"5692","Myrmornis torquata","THASAT01_Myrmornis torquata","Passeriformes","Thamnophilidae","Myrmornis",0,"Myrmornis_torquata","yes"
"5694","Myrmotherula axillaris","THAMAE01_Myrmotherula axillaris","Passeriformes","Thamnophilidae","Myrmotherula",0,"Myrmotherula_axillaris","yes"
"5711","Myrmotherula guttata","ISLGUT01_Myrmotherula guttata","Passeriformes","Thamnophilidae","Myrmotherula",0,"Myrmotherula_guttata","yes"
"5713","Myrmotherula hauxwelli","MYRMAX01_Myrmotherula hauxwelli","Passeriformes","Thamnophilidae","Myrmotherula",0,"Myrmotherula_hauxwelli","yes"
"5720","Myrmotherula longicauda","TROAED18_Myrmotherula longicauda","Passeriformes","Thamnophilidae","Myrmotherula",0,NA,NA
"5723","Myrmotherula longipennis","MYRLON01_Myrmotherula longipennis","Passeriformes","Thamnophilidae","Myrmotherula",0,"Myrmotherula_longipennis","yes"
"5731","Myrmotherula menetriesii","MYRAXI01_Myrmotherula menetriesii","Passeriformes","Thamnophilidae","Myrmotherula",0,"Myrmotherula_menetriesii","yes"
"5735","Myrmotherula schisticolor","ANIFLA01_Myrmotherula schisticolor","Passeriformes","Thamnophilidae","Myrmotherula",0,NA,NA
"5738","Myrmotherula urosticta","MYMURO01_Myrmotherula urosticta","Passeriformes","Thamnophilidae","Myrmotherula",0,NA,NA
"5739","Mystacornis crossleyi","FOMAD01_Mystacornis crossleyi","Passeriformes","Timaliidae","Mystacornis",0,NA,NA
"5741","Myzomela caledonica","MYZCAL02_Myzomela caledonica","Passeriformes","Meliphagidae","Myzomela",0,"Myzomela_caledonica","yes"
"5743","Myzomela cardinalis","MYZCAR04_Myzomela cardinalis","Passeriformes","Meliphagidae","Myzomela",0,"Myzomela_cardinalis","yes"
"5750","Myzomela erythrocephala","LICVER08_Myzomela erythrocephala","Passeriformes","Meliphagidae","Myzomela",0,"Myzomela_erythrocephala","yes"
"5751","Myzomela nigrita","LALLEU01_Myzomela nigrita","Passeriformes","Meliphagidae","Myzomela",0,"Myzomela_nigrita","yes"
"5754","Myzomela obscura","MYZSAN01_Myzomela obscura","Passeriformes","Meliphagidae","Myzomela",0,"Myzomela_obscura","yes"
"5758","Myzomela sanguinolenta","MYZSAN02_Myzomela sanguinolenta","Passeriformes","Meliphagidae","Myzomela",0,"Myzomela_sanguinolenta","yes"
"5760","Nectarinia afra","CYAOLI04_Nectarinia afra","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_afra","yes"
"5769","Nectarinia chloropygia","CINCHL01_Nectarinia chloropygia","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_chloropygia","yes"
"5772","Nectarinia famosa","GRW04_Nectarinia famosa","Passeriformes","Nectariniidae","Nectarinia",1,"Nectarinia_famosa","yes"
"5775","Nectarinia humbloti","HYMAD01_Nectarinia humbloti","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_humbloti","yes"
"5779","Nectarinia kilimensis","AFR116_Nectarinia kilimensis","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_kilimensis","yes"
"5780","Nectarinia moreaui","CINMOR01_Nectarinia moreaui","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_moreaui","yes"
"5781","Nectarinia notata","NEHUM01_Nectarinia notata","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_notata","yes"
"5791","Nectarinia olivacea","NEOLI01_Nectarinia olivacea","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_olivacea","yes"
"5796","Nectarinia oritis","CYAORI01_Nectarinia oritis","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_oritis","yes"
"5797","Nectarinia sperata","SAXFUL02_Nectarinia sperata","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_sperata","yes"
"5801","Nectarinia venusta","RECOB3_Nectarinia venusta","Passeriformes","Nectariniidae","Nectarinia",0,"Nectarinia_venusta","yes"
"5809","Nemosia pileata","PACPEC02_Nemosia pileata","Passeriformes","Fringillidae","Nemosia",0,"Nemosia_pileata","yes"
"5812","Neochmia temporalis","NEOTEM01_Neochmia temporalis","Passeriformes","Estrildidae","Neochmia",0,"Neochmia_temporalis","yes"
"5815","Neocichla gutturalis","AFR080_Neocichla gutturalis","Passeriformes","Sturnidae","Neocichla",0,"Neocichla_gutturalis","yes"
"5822","Neocossyphus fraseri","PLACAS02_Neocossyphus fraseri","Passeriformes","Turdidae","Neocossyphus",0,"Stizorhina_fraseri","no"
"5826","Neocossyphus poensis","GRW09_Neocossyphus poensis","Passeriformes","Turdidae","Neocossyphus",0,"Neocossyphus_poensis","yes"
"5829","Neocossyphus rufus","GRW09_Neocossyphus rufus","Passeriformes","Turdidae","Neocossyphus",0,"Neocossyphus_rufus","yes"
"5830","Neodrepanis coruscans","HYPMA02_Neodrepanis coruscans","Passeriformes","Philepittidae","Neodrepanis",0,NA,NA
"5831","Neomixis striatigula","CINCOQ01_Neomixis striatigula","Passeriformes","Timaliidae","Neomixis",0,NA,NA
"5832","Neomixis tenella","NEOTEN01_Neomixis tenella","Passeriformes","Timaliidae","Neomixis",0,NA,NA
"5833","Neopelma pallescens","COFLA04_Neopelma pallescens","Passeriformes","Pipridae","Neopelma",0,NA,NA
"5834","Neophema pulchella","TUPHI01_Neophema pulchella","Psittaciformes","Psittacidae","Neophema",0,NA,NA
"5836","Neophron percnopterus","CIAE02_Neophron percnopterus","Falconiformes","Accipitridae","Neophron",0,NA,NA
"5837","Neopsephotus bourkii","TUPHI01_Neopsephotus bourkii","Psittaciformes","Psittacidae","Neopsephotus",0,NA,NA
"5838","Neospiza concolor","CRIRUF01_Neospiza concolor","Passeriformes","Fringillidae","Neospiza",0,"Neospiza_concolor","yes"
"5840","Neothraupis fasciata","PADOM09_Neothraupis fasciata","Passeriformes","Fringillidae","Neothraupis",0,"Neothraupis_fasciata","yes"
"5858","Nesillas typica","URANO02_Nesillas typica","Passeriformes","Sylviidae","Nesillas",0,"Nesillas_typica","yes"
"5867","Netta erythrophthalma","DENPET03_Netta erythrophthalma","Anseriformes","Anatidae","Netta",0,"Netta_erythrophthalma","yes"
"5868","Newtonia amphichroa","FOMAD01_Newtonia amphichroa","Passeriformes","Vangidae","Newtonia",0,NA,NA
"5876","Newtonia brunneicauda","NEWAM02_Newtonia brunneicauda","Passeriformes","Vangidae","Newtonia",0,NA,NA
"5883","Nicator chloris","GRW09_Nicator chloris","Passeriformes","Pycnonotidae","Nicator",0,"Nicator_chloris","yes"
"5884","Nigrita bicolor","NIGBI01_Nigrita bicolor","Passeriformes","Estrildidae","Nigrita",0,"Nigrita_bicolor","yes"
"5885","Niltava davidi","NILTAV01_Niltava davidi","Passeriformes","Muscicapidae","Niltava",0,"Niltava_davidi","yes"
"5887","Niltava grandis","NIGRA01_Niltava grandis","Passeriformes","Muscicapidae","Niltava",0,NA,NA
"5889","Niltava macgrigoriae","PIPHA01_Niltava macgrigoriae","Passeriformes","Muscicapidae","Niltava",0,NA,NA
"5890","Niltava sundara","ALARV04_Niltava sundara","Passeriformes","Muscicapidae","Niltava",0,"Niltava_sundara","yes"
"5895","Niltava vivida","NILTAV01_Niltava vivida","Passeriformes","Muscicapidae","Niltava",0,"Niltava_vivida","yes"
"5896","Ninox philippensis","NINOX03_Ninox philippensis","Strigiformes","Strigidae","Ninox",0,"Ninox_philippensis","yes"
"5903","Ninox scutulata","NISCU2_Ninox scutulata","Strigiformes","Strigidae","Ninox",0,"Ninox_scutulata","yes"
"5913","Nisaetus alboniger","NISALB01_Nisaetus alboniger","Falconiformes","Accipitridae","Nisaetus",0,NA,NA
"5915","Nonnula rubecula","COPIL01_Nonnula rubecula","Galbuliformes","Bucconidae","Nonnula",0,"Nonnula_rubecula","yes"
"5916","Nothocrax urumutum","NOTURU01_Nothocrax urumutum","Galliformes","Cracidae","Nothocrax",0,"Nothocrax_urumutum","yes"
"5917","Notiomystis cincta","HIHI01_Notiomystis cincta","Passeriformes","Meliphagidae","Notiomystis",0,"Notiomystis_cincta","yes"
"5919","Nucifraga columbiana","NUCCOL01_Nucifraga columbiana","Passeriformes","Corvidae","Nucifraga",0,"Nucifraga_columbiana","yes"
"5920","Numenius phaeopus","NUMPHA01_Numenius phaeopus","Charadriiformes","Scolopacidae","Numenius",0,NA,NA
"5921","Numida meleagris","DELURB4_Numida meleagris","Galliformes","Numididae","Numida",0,"Numida_meleagris","yes"
"5923","Nycticorax nycticorax","NYCNYC02_Nycticorax nycticorax","Ciconiiformes","Ardeidae","Nycticorax",0,"Nycticorax_nycticorax","yes"
"5925","Nyctidromus albicollis","NYCTALB03_Nyctidromus albicollis","Caprimulgiformes","Caprimulgidae","Nyctidromus",0,"Nyctidromus_albicollis","yes"
"5928","Nyctipolus nigrescens","NYCTALB02_Nyctipolus nigrescens","Caprimulgiformes","Caprimulgidae","Nyctipolus",0,NA,NA
"5929","Nystalus chacuru","NYSCHA02_Nystalus chacuru","Galbuliformes","Bucconidae","Nystalus",0,"Nystalus_chacuru","yes"
"5933","Nystalus maculatus","NYSMAC02_Nystalus maculatus","Galbuliformes","Bucconidae","Nystalus",0,"Nystalus_maculatus","yes"
"5937","Ochthoeca diadema","ARBRU02_Ochthoeca diadema","Passeriformes","Tyrannidae","Ochthoeca",0,NA,NA
"5938","Ochthoeca fumicolor","CONCIN03_Ochthoeca fumicolor","Passeriformes","Tyrannidae","Ochthoeca",0,NA,NA
"5939","Ochthoeca leucophrys","OCHLEU02_Ochthoeca leucophrys","Passeriformes","Tyrannidae","Ochthoeca",0,NA,NA
"5948","Ochthoeca oenanthoides","OCHOEN01_Ochthoeca oenanthoides","Passeriformes","Tyrannidae","Ochthoeca",0,NA,NA
"5950","Ochthoeca piurae","PYERY01_Ochthoeca piurae","Passeriformes","Tyrannidae","Ochthoeca",0,NA,NA
"5952","Ochthoeca pulchella","OCHRUF02_Ochthoeca pulchella","Passeriformes","Tyrannidae","Ochthoeca",0,NA,NA
"5956","Ochthoeca rufipectoralis","TROAED02_Ochthoeca rufipectoralis","Passeriformes","Tyrannidae","Ochthoeca",0,"Ochthoeca_rufipectoralis","yes"
"5966","Ocreatus underwoodii","TROAED20_Ocreatus underwoodii","Trochiliformes","Trochilidae","Ocreatus",0,NA,NA
"5970","Oedistoma iliolophum","OEDILI01_Oedistoma iliolophum","Passeriformes","Melanocharitidae","Oedistoma",0,"Toxorhamphus_iliolophus","no"
"5971","Oedistoma iliolophus","OEDILI01_Oedistoma iliolophus","Passeriformes","Melanocharitidae","Oedistoma",0,NA,NA
"5973","Oena capensis","OENCAP01_Oena capensis","Columbiformes","Columbidae","Oena",0,NA,NA
"5974","Oenanthe oenanthe","SGS1_Oenanthe oenanthe","Passeriformes","Muscicapidae","Oenanthe",1,"Oenanthe_oenanthe","yes"
"5976","Onychognathus tenuirostris","AFR137_Onychognathus tenuirostris","Passeriformes","Sturnidae","Onychognathus",0,"Onychognathus_tenuirostris","yes"
"5978","Oporornis formosus","PADOM11_Oporornis formosus","Passeriformes","Parulidae","Oporornis",0,NA,NA
"5981","Oporornis philadelphia","DUMCAR01_Oporornis philadelphia","Passeriformes","Parulidae","Oporornis",0,NA,NA
"5982","Oporornis tolmiei","CATUST22_Oporornis tolmiei","Passeriformes","Parulidae","Oporornis",0,"Oporornis_tolmiei","yes"
"5983","Oreonympha nobilis","TUMIG03_Oreonympha nobilis","Trochiliformes","Trochilidae","Oreonympha",0,NA,NA
"5984","Oreoscopus gutturalis","OREGUT01_Oreoscopus gutturalis","Passeriformes","Acanthizidae","Oreoscopus",0,"Oreoscopus_gutturalis","yes"
"5985","Oreotrochilus estella","TROAED20_Oreotrochilus estella","Trochiliformes","Trochilidae","Oreotrochilus",0,NA,NA
"5986","Oreotrochilus melanogaster","OCHOEN01_Oreotrochilus melanogaster","Trochiliformes","Trochilidae","Oreotrochilus",0,NA,NA
"5993","Origma murina","CRAMUR02_Origma murina","Passeriformes","Acanthizidae","Origma",0,NA,NA
"5995","Origma robusta","RHIALB03_Origma robusta","Passeriformes","Acanthizidae","Origma",0,NA,NA
"5996","Oriolus auratus","AFR053_Oriolus auratus","Passeriformes","Corvidae","Oriolus",0,"Oriolus_auratus","yes"
