"","id","record","species","Lineage_Name","parasiteGenus","order","family","genus","Pr","Jetz.species","match","tip"
"6300","Parus teneriffae_GRW11",4,"Cyanistes teneriffae","GRW11","Plasmodium","Passeriformes","Paridae","Cyanistes",1,"Parus_teneriffae","no","Parus teneriffae"
"6316","Parus teneriffae_SGS1",9,"Cyanistes teneriffae","SGS1","Plasmodium","Passeriformes","Paridae","Cyanistes",1,"Parus_teneriffae","no","Parus teneriffae"
"6318","Parus varius_SGS1",1,"Poecile varius","SGS1","Plasmodium","Passeriformes","Paridae","Poecile",1,"Parus_varius","no","Parus varius"
"6326","Parus venustulus_SGS1",1,"Parus venustulus","SGS1","Plasmodium","Passeriformes","Paridae","Parus",1,"Parus_venustulus","yes","Parus venustulus"
"6349","Passer domesticus_GRW04",24,"Passer domesticus","GRW04","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_domesticus","yes","Passer domesticus"
"6351","Passer domesticus_GRW11",73,"Passer domesticus","GRW11","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_domesticus","yes","Passer domesticus"
"6397","Passer domesticus_SGS1",98,"Passer domesticus","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_domesticus","yes","Passer domesticus"
"6412","Passer griseus_SGS1",1,"Passer griseus","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_griseus","yes","Passer griseus"
"6415","Passer hispaniolensis_GRW11",5,"Passer hispaniolensis","GRW11","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_hispaniolensis","yes","Passer hispaniolensis"
"6429","Passer hispaniolensis_SGS1",5,"Passer hispaniolensis","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_hispaniolensis","yes","Passer hispaniolensis"
"6430","Passer luteus_SGS1",1,"Passer luteus","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_luteus","yes","Passer luteus"
"6435","Passer melanurus_SGS1",1,"Passer melanurus","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_melanurus","yes","Passer melanurus"
"6441","Passer montanus_GRW04",2,"Passer montanus","GRW04","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_montanus","yes","Passer montanus"
"6442","Passer montanus_GRW11",6,"Passer montanus","GRW11","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_montanus","yes","Passer montanus"
"6451","Passer montanus_SGS1",11,"Passer montanus","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_montanus","yes","Passer montanus"
"6455","Passer rufocinctus_SGS1",1,"Passer rufocinctus","SGS1","Plasmodium","Passeriformes","Passeridae","Passer",1,"Passer_rufocinctus","yes","Passer rufocinctus"
"6529","Perdix perdix_SGS1",1,"Perdix perdix","SGS1","Plasmodium","Galliformes","Phasianidae","Perdix",1,"Perdix_perdix","yes","Perdix perdix"
"6548","Petrochelidon pyrrhonota_GRW04",1,"Petrochelidon pyrrhonota","GRW04","Plasmodium","Passeriformes","Hirundinidae","Petrochelidon",1,"Petrochelidon_pyrrhonota","yes","Petrochelidon pyrrhonota"
"6637","Philepitta castanea_GRW04",2,"Philepitta castanea","GRW04","Plasmodium","Passeriformes","Philepittidae","Philepitta",1,"Philepitta_castanea","yes","Philepitta castanea"
"6646","Philomachus pugnax_GRW11",1,"Philomachus pugnax","GRW11","Plasmodium","Charadriiformes","Scolopacidae","Philomachus",1,"Philomachus_pugnax","yes","Philomachus pugnax"
"6677","Phleocryptes melanops_SGS1",1,"Phleocryptes melanops","SGS1","Plasmodium","Passeriformes","Furnariidae","Phleocryptes",1,"Phleocryptes_melanops","yes","Phleocryptes melanops"
"6685","Phoenicopterus roseus_GRW11",1,"Phoenicopterus roseus","GRW11","Plasmodium","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus",1,NA,NA,"Phoenicopterus roseus"
"6686","Phoenicopterus roseus_SGS1",1,"Phoenicopterus roseus","SGS1","Plasmodium","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus",1,NA,NA,"Phoenicopterus roseus"
